Transfert size : 10.000000, handle bandwidth : 20.0000000000 Mbits/sec, bandwidth of top link : 5.0000000000 Mbits/sec, bandwidth of bot link : 5.0000000000 Mbits/sec, handle delay : 35.000000 ms, top delay : 35.000000 ms, considered bot delay ratios relative to top delay : np.arange(0.200000, 3.100000, 0.200000) iterations : 30
ratio iter total_transfert time goodput
2.800 6 10671397 10.904535 7.8290
2.800 7 10411000 12.442286 6.6939
2.800 8 11473122 11.498739 7.9822
2.800 9 10443837 11.172961 7.4779
2.800 10 11458242 12.513371 7.3254
2.800 11 11474591 11.993079 7.6541
2.800 12 10425838 12.856382 6.4876
2.800 13 10413599 16.854572 4.9428
2.800 14 15656119 15.037207 8.3293
2.800 15 11440164 12.884518 7.1032
2.800 16 13107897 16.143470 6.4957
2.800 17 11488141 11.144791 8.2465
2.800 18 10410853 16.826273 4.9498
2.800 19 10425941 15.046615 5.5433
2.800 20 10412499 18.340169 4.5419
2.800 21 11471541 12.562563 7.3052
2.800 22 11440411 12.504778 7.3191
2.800 23 10410948 13.129631 6.3435
2.800 24 10443789 18.692456 4.4697
2.800 25 11459624 14.366409 6.3813
2.800 26 13564573 14.559555 7.4533
2.800 27 13009812 16.470204 6.3192
2.800 28 13091548 16.190505 6.4688
2.800 29 14431837 15.302190 7.5450
3.000 0 11456773 11.351504 8.0742
3.000 1 10706924 14.424349 5.9383
3.000 2 10591069 17.832443 4.7514
3.000 3 10312629 13.536151 6.0949
3.000 4 15639796 14.919324 8.3863
3.000 5 15657609 20.321119 6.1641
3.000 6 11456734 12.397619 7.3929
3.000 7 10918018 16.716035 5.2252
3.000 8 10427349 17.368216 4.8030
3.000 9 10443603 16.334832 5.1148
3.000 10 10428896 18.638969 4.4762
3.000 11 13776773 17.885367 6.1623
3.000 12 11522230 13.604698 6.7754
3.000 13 11471519 14.910309 6.1549
3.000 14 13238719 16.296444 6.4989
3.000 15 10624854 12.327202 6.8952
3.000 16 10525409 17.145040 4.9112
3.000 17 17751828 18.733879 7.5806
3.000 18 10246949 14.669219 5.5883
3.000 19 11459302 18.262007 5.0200
3.000 20 10396033 14.610721 5.6923
3.000 21 11473122 11.872685 7.7308
3.000 22 11537227 11.397031 8.0984
3.000 23 10428848 14.327864 5.8230
3.000 24 11014982 12.876686 6.8434
3.000 25 10410831 13.566776 6.1390
3.000 26 10426050 17.058722 4.8895
3.000 27 10428783 15.912045 5.2432
3.000 28 10425453 18.345343 4.5463
3.000 29 10558094 11.720254 7.2067
